Date,Open,High,Low,Close,Adj Close,Volume,,,,,,,
1/1/22,#N/A,,,,,,,,,,,,
1/2/22,79.6500015,81.084999,77.1549985,78.595001,78.595001,272214.5,,,,,,,
1/17/22,#N/A,,,,,,,,,,,,
1/24/22,84.910004,86.089996,81.900002,83.309998,83.309998,511695,,,,,,,
1/25/22,84.150002,85.709999,82.989998,85.599998,85.599998,507219,,,,,,,
1/26/22,85.260002,87.949997,85.010002,87.349998,87.349998,459642,,,,,,,
1/27/22,87.150002,88.540001,86.199997,86.610001,86.610001,427804,,,,,,,
1/28/22,87.5,88.839996,86.440002,86.82,86.82,436172,,,,,,,
1/31/22,87.449997,88.389999,86.339996,88.150002,88.150002,359080,,,,,,,
2/1/22,88.150002,88.870003,86.550003,88.199997,88.199997,376841,,,,,,,
2/2/22,88.349998,89.720001,87.099998,88.260002,88.260002,456863,,,,,,,
2/3/22,87.980003,90.449997,86.75,90.269997,90.269997,465771,,,,,,,
2/4/22,90.190002,93.169998,90.07,92.309998,92.309998,410926,,,,,,,
2/7/22,91.82,92.730003,90.730003,91.32,91.32,497754,,,,,,,
2/8/22,91.639999,91.68,88.510002,89.360001,89.360001,467386,,,,,,,
2/9/22,89.860001,90.580002,88.410004,89.660004,89.660004,445618,,,,,,,
2/10/22,90.010002,91.739998,89.029999,89.879997,89.879997,492091,,,,,,,
2/11/22,90,94.660004,89.190002,93.099998,93.099998,554423,,,,,,,
2/14/22,93.910004,95.82,92.089996,95.459999,95.459999,467071,,,,,,,
2/15/22,94.830002,95.169998,90.660004,92.07,92.07,442641,,,,,,,
2/16/22,92.209999,95.010002,90,93.660004,93.660004,401453,,,,,,,
2/17/22,90.900002,93.360001,90.620003,91.760002,91.760002,212552,,,,,,,
2/18/22,91.629997,92.660004,89.029999,91.07,91.07,150382,,,,,,,
2/21/22,91.6899985,94.330002,89.6899985,91.709999,91.709999,469711.5,,,,,,,
2/21/22,91.6899985,94.330002,89.6899985,91.709999,91.709999,469711.5,,,,,,,
2/22/22,91.75,96,90.349998,92.349998,92.349998,789041,,,,,,,
2/23/22,91.739998,93.900002,90.639999,92.099998,92.099998,440574,,,,,,,
2/24/22,92.519997,100.540001,91.449997,92.809998,92.809998,872244,,,,,,,
2/25/22,93.32,95.639999,90.059998,91.589996,91.589996,523793,,,,,,,
2/28/22,94.989998,99.099998,94.43,95.720001,95.720001,490796,,,,,,,
3/1/22,96.089996,106.779999,95.32,103.410004,103.410004,698814,,,,,,,
3/2/22,107.120003,112.510002,105.18,110.599998,110.599998,651853,,,,,,,
3/3/22,111.330002,116.57,106.43,107.669998,107.669998,592031,,,,,,,
3/4/22,107.959999,116.019997,107.25,115.68,115.68,493875,,,,,,,
3/7/22,121.330002,130.5,115.540001,119.400002,119.400002,576022,,,,,,,
3/8/22,120.669998,129.440002,117.07,123.699997,123.699997,583106,,,,,,,
3/9/22,124.660004,126.839996,103.629997,108.699997,108.699997,594773,,,,,,,
3/10/22,110.410004,114.879997,105.529999,106.019997,106.019997,437924,,,,,,,
3/11/22,105.989998,110.290001,104.480003,109.330002,109.330002,368194,,,,,,,
3/14/22,109.419998,109.720001,99.760002,103.010002,103.010002,344184,,,,,,,
3/15/22,102.279999,102.580002,93.529999,96.440002,96.440002,401690,,,,,,,
3/16/22,95.230003,99.220001,94.07,95.040001,95.040001,293947,,,,,,,
3/17/22,95.339996,104.239998,94.849998,102.980003,102.980003,210763,,,,,,,
3/18/22,103.620003,106.279999,102.300003,104.699997,104.699997,74247,,,,,,,
3/21/22,105.129997,112.690002,104.080002,112.120003,112.120003,77217,,,,,,,
3/22/22,112.900002,115.010002,109.300003,111.760002,111.760002,318629,,,,,,,
3/23/22,108.849998,115.400002,108.379997,114.93,114.93,289182,,,,,,,
3/24/22,114.470001,116.639999,110.610001,112.339996,112.339996,307238,,,,,,,
3/25/22,111.75,114.120003,108.68,113.900002,113.900002,320304,,,,,,,
3/28/22,112.919998,112.93,102.830002,105.959999,105.959999,372251,,,,,,,
3/29/22,103.470001,107.839996,98.440002,104.239998,104.239998,387200,,,,,,,
3/30/22,105.239998,108.75,104.550003,107.82,107.82,284544,,,,,,,
3/31/22,107.449997,107.800003,99.660004,100.279999,100.279999,450845,,,,,,,
4/1/22,101.230003,101.75,97.779999,99.269997,99.269997,324777,,,,,,,
4/4/22,98.949997,103.940002,98.050003,103.279999,103.279999,288131,,,,,,,
4/5/22,103.660004,105.589996,99.879997,101.959999,101.959999,280283,,,,,,,
4/6/22,101.239998,104.019997,95.730003,96.230003,96.230003,366036,,,,,,,
4/7/22,97.160004,98.82,93.809998,96.029999,96.029999,367318,,,,,,,
4/8/22,97.169998,98.760002,95.290001,98.260002,98.260002,310082,,,,,,,
4/11/22,98.400002,98.519997,92.93,94.290001,94.290001,315873,,,,,,,
4/12/22,95.169998,101.349998,94.839996,100.599998,100.599998,329037,,,,,,,
4/13/22,100.910004,104.470001,99.870003,104.25,104.25,312502,,,,,,,
4/14/22,104.199997,107.639999,102.120003,106.949997,106.949997,244952,,,,,,,
4/15/22,105.614998,108.7249985,104.0600015,107.579998,107.579998,156720.5,,,,,,,
4/18/22,107.029999,109.809998,106,108.209999,108.209999,68489,,,,,,,
4/19/22,107.75,108.919998,102.099998,102.559998,102.559998,71792,,,,,,,
4/20/22,103.050003,104.160004,100.699997,102.75,102.75,299028,,,,,,,
4/21/22,102.5,105.419998,102.010002,103.790001,103.790001,280321,,,,,,,
4/22/22,104.07,104.220001,101.059998,102.07,102.07,246116,,,,,,,
4/25/22,101.379997,101.550003,95.279999,98.540001,98.540001,328153,,,,,,,
4/26/22,98.639999,102.779999,97.059998,101.699997,101.699997,351850,,,,,,,
4/27/22,101.760002,102.989998,99.800003,102.019997,102.019997,278781,,,,,,,
4/28/22,102.110001,105.68,100.129997,105.360001,105.360001,312064,,,,,,,
4/29/22,105.169998,107.989998,103.779999,104.690002,104.690002,294386,,,,,,,
5/2/22,104,105.940002,100.279999,105.169998,105.169998,261878,,,,,,,
5/3/22,105.080002,105.800003,102.099998,102.410004,102.410004,239266,,,,,,,
5/4/22,103.5,108.610001,102.949997,107.809998,107.809998,272909,,,,,,,
5/5/22,107.580002,111.370003,106.449997,108.260002,108.260002,286916,,,,,,,
5/6/22,108.699997,111.18,107.239998,109.769997,109.769997,294278,,,,,,,
5/9/22,110.43,110.489998,102.129997,103.089996,103.089996,368183,,,,,,,
5/10/22,102.650002,104.160004,98.860001,99.760002,99.760002,389750,,,,,,,
5/11/22,99,106.440002,98.199997,105.709999,105.709999,382701,,,,,,,
5/12/22,105.629997,107.370003,102.660004,106.129997,106.129997,323547,,,,,,,
5/13/22,106.650002,110.639999,106.290001,110.489998,110.489998,240989,,,,,,,
5/16/22,110.980003,114.900002,108.110001,114.199997,114.199997,289127,,,,,,,
5/17/22,113.870003,115.559998,111.75,112.400002,112.400002,252630,,,,,,,
5/18/22,113.660004,115.419998,108.459999,109.589996,109.589996,103669,,,,,,,
5/19/22,109.089996,112.620003,105.129997,112.209999,112.209999,68511,,,,,,,
